timestamp_ns,source_id,sequence,field,value,unit,source_timestamp_ns,receive_timestamp_ns
1000000000,ros-agent:demo:/cmd_vel,1,linear.x,0,m/s,1000000000,1001000000
1000000000,ros-agent:demo:/odom,1,twist.linear.x,0,m/s,1000000000,1001000000
1000000000,ros-agent:demo:/imu,1,linear_acceleration.x,0,m/s^2,1000000000,1001000000
1000000000,derived:tracking,1,speed_tracking_error,0,m/s,1000000000,1001000000
2000000000,ros-agent:demo:/cmd_vel,2,linear.x,0.8,m/s,2000000000,2001000000
2000000000,ros-agent:demo:/odom,2,twist.linear.x,0.78,m/s,2000000000,2001000000
2000000000,ros-agent:demo:/imu,2,linear_acceleration.x,0.8,m/s^2,2000000000,2001000000
2000000000,derived:tracking,2,speed_tracking_error,0.02,m/s,2000000000,2001000000
3000000000,ros-agent:demo:/cmd_vel,3,linear.x,1,m/s,3000000000,3001000000
3000000000,ros-agent:demo:/odom,3,twist.linear.x,0.98,m/s,3000000000,3001000000
3000000000,ros-agent:demo:/imu,3,linear_acceleration.x,0.18,m/s^2,3000000000,3001000000
3000000000,derived:tracking,3,speed_tracking_error,0.02,m/s,3000000000,3001000000
4000000000,ros-agent:demo:/cmd_vel,4,linear.x,1,m/s,4000000000,4001000000
4000000000,ros-agent:demo:/odom,4,twist.linear.x,0.97,m/s,4000000000,4001000000
4000000000,ros-agent:demo:/imu,4,linear_acceleration.x,0.02,m/s^2,4000000000,4001000000
4000000000,derived:tracking,4,speed_tracking_error,0.03,m/s,4000000000,4001000000
5000000000,ros-agent:demo:/cmd_vel,5,linear.x,1,m/s,5000000000,5001000000
5000000000,ros-agent:demo:/odom,5,twist.linear.x,0.55,m/s,5000000000,5001000000
5000000000,ros-agent:demo:/imu,5,linear_acceleration.x,-2.8,m/s^2,5000000000,5001000000
5000000000,derived:tracking,5,speed_tracking_error,0.45,m/s,5000000000,5001000000
6000000000,ros-agent:demo:/cmd_vel,6,linear.x,1,m/s,6000000000,6001000000
6000000000,ros-agent:demo:/odom,6,twist.linear.x,0.3,m/s,6000000000,6001000000
6000000000,ros-agent:demo:/imu,6,linear_acceleration.x,-1.6,m/s^2,6000000000,6001000000
6000000000,derived:tracking,6,speed_tracking_error,0.7,m/s,6000000000,6001000000
7000000000,ros-agent:demo:/cmd_vel,7,linear.x,1,m/s,7000000000,7001000000
7000000000,ros-agent:demo:/odom,7,twist.linear.x,0.22,m/s,7000000000,7001000000
7000000000,ros-agent:demo:/imu,7,linear_acceleration.x,-0.15,m/s^2,7000000000,7001000000
7000000000,derived:tracking,7,speed_tracking_error,0.78,m/s,7000000000,7001000000
8000000000,ros-agent:demo:/cmd_vel,8,linear.x,0.8,m/s,8000000000,8001000000
8000000000,ros-agent:demo:/odom,8,twist.linear.x,0.75,m/s,8000000000,8001000000
8000000000,ros-agent:demo:/imu,8,linear_acceleration.x,1.9,m/s^2,8000000000,8001000000
8000000000,derived:tracking,8,speed_tracking_error,0.05,m/s,8000000000,8001000000
9000000000,ros-agent:demo:/cmd_vel,9,linear.x,0,m/s,9000000000,9001000000
9000000000,ros-agent:demo:/odom,9,twist.linear.x,0.08,m/s,9000000000,9001000000
9000000000,ros-agent:demo:/imu,9,linear_acceleration.x,-0.7,m/s^2,9000000000,9001000000
9000000000,derived:tracking,9,speed_tracking_error,0.08,m/s,9000000000,9001000000
10000000000,ros-agent:demo:/cmd_vel,10,linear.x,0,m/s,10000000000,10001000000
10000000000,ros-agent:demo:/odom,10,twist.linear.x,0,m/s,10000000000,10001000000
10000000000,ros-agent:demo:/imu,10,linear_acceleration.x,0,m/s^2,10000000000,10001000000
10000000000,derived:tracking,10,speed_tracking_error,0,m/s,10000000000,10001000000
